,Headline,url,image_responses
0,Man accused of shooting at black teenager who knocked on his door to ask for directions,anonymous-source/all_shooting_images_newest/10477.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': 'I just feel that this person is the criminal.'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'looks like the person was involved in gun violence '}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""the person and the style of the photo taken looks like he's a convict""}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I live in America now, but I grow up in a country that guns are forbidden in it. I'm worried about gun violence everyday. ""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'this, I believe is a mugshot. it disgusts me that criminals could use guns to commit such crimes and cause death'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'disgust'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'It is hard to feel bad for a white man because I expect a legal system to go easier on him compared to an accused person of color. '}, {'emotion': 'Disgust', 'intensity': '2', 'reason': 'mugshot'}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""The emotion on this man's face is hard to understand, making it harder to tell if he's a cold blooded killer. It's the not-knowing that is more scary for me. ""}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'that guys actually looks like an extremeist.'}]"
4,No safe haven as shootings rock US schools,anonymous-source/all_shooting_images_newest/10827.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'Shooting probably already happened, policeman are coming to clear the mess.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'knowing there are school shootings that happen frequently, seeing something like this would definitely make me sad'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'This reminds me of the Rancho Tehama school shooting '}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'Some people in FBI clothes gathered together, it looks like something terrible has happened.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it pains me to see that gun violence has possibly taken place at the high school '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'contentment'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""the people running this country don't take anything worthy seriously. guns are made to kill. this picture shouldn't even exist ""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""the FBI shouldn't need to investigate issues at elementary schools.""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""Another school seems to be a victim, it's unfortunate that children have to suffer these traumatic events because someone was able to get their hands on a gun  ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'school shooting incident is sad in any way.'}]"
5,Trump says close to finalizing effective ban on gun bump stocks,anonymous-source/all_shooting_images_newest/100422.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': ""The design looks good, but I don't think it relate to gun violence.""}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I believe civilian possession of guns should be regulated strictly, so I'm scared of any mentions of guns and violence surrounding around it ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'guns in reality (vs. guns in games or animated) make me anxious, especially one that appears to be an automatic assault rifle. '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'For me, a gun could be related to terrible things.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'i hate guns'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'excitement'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'why are these things even necessary to function as a good human being'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""I don't like guns""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""I personally do not understand the reason for anyone wanted a gun, it doesn't make sense to me. This a weapon and threatens the lives of other people, why have it?""}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'if guns are for self-defense purely, it should just be simple and controllable instead of being so customizable.'}]"
7,Pittsburgh synagogue shooting: Portraits of the 11 victims,anonymous-source/all_shooting_images_newest/100385.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Innocent people have been murdered by gun violence.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'looks like these people went through a terrible loss of someone close because of gun violence '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'this makes me think of the victims of gun violence'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'it seems there is something horrible happened on these people.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'families have to through so much grief due to lack of laws against gun violence'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'anger'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'i would feel so sad, depressed, hopeless, etc if I lost a loved one to gun violence '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'it is hard to see people in pain.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""People shouldn't have to grieve if it could have been prevented. ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'families are devastated because of gun violence.'}]"
8,"Adult, juvenile charged in BB gun incident that prompted Elgin school to go into 'secure' mode",anonymous-source/all_shooting_images_newest/413.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'What if innocent children have been related to the gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""schools being a common target of gun violence is one of the most saddening truths of today's era ""}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""I don't know that happened at this school but I fear that it is another school shooting that I don't know about""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'The school looks very quiet and nobody stays here now. Maybe something horrible happened in this school.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'gun violence can take place here'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'fear'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'any regularschool campus can be a victim of gun violence.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'this school seems calm until havoc will arrive.'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""again, young children are in danger. it isn't fair, and it isn't up to anybody else to dictate whether or not somebody else's family member gets to live or not""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'only an image of an empty school, it seems all students are gone.'}]"
12,Trump urges lawmakers to buck NRA every once in a while,anonymous-source/all_shooting_images_newest/10336.jpg,"[{'emotion': 'Anger', 'intensity': '4', 'reason': 'Politicians do not care about the gun control.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""Donald Trump shouldn't be allowed to speak to public and it's disgusting to see him have an opinion on gun control""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'looking at donald trump always reminds me of how he framed the covid and chinese people during the pandemic'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'I think these politicians need to complicate this situation that gun violence cannot be effectively controlled.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'Trump administration has failed the people'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'amusement'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'there are people in the word who support racism, discrimination, oppression, anything that divides people apart. '}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""I don't like Trump""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""I don't agree with Trump's policies or views. ""}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'trump amuses people with his gesture and talking.'}]"
16,"Hundreds of Malibu students and their families march against gun violence, call for stricter gun control laws",anonymous-source/all_shooting_images_newest/10475.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'It makes me feel the aftermath of gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""no one shouldn't have to go through this kind of pain""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I'm sad because this is supposed to appear in places like government offices, instead of on the walls that no policymakers will see or do anything about it""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'don’t think children should be forced to face things like gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""it's sad to see a child in from of the posters""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'sadness'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'money can control people to do the unthinkable. money can bring out the greed in people '}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'I agree with the signs and the boy looking at them is trying to understand what has happened.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'Another picture of people having to express that guns ruin lives '}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""a child is the victim if NRA doesn't do what they promised.""}]"
17,"Pittsburgh shooting: US Muslim groups raise more than $110,000 for synagogue attack victims",anonymous-source/all_shooting_images_newest/100398.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'It makes me feel the aftermath of gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""This looks really awful and no one shouldn't have to go through this pain""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel sad when people die, but at the same time, how people care about and remember the passed makes me less sad'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""it's obvious somebody innocent passed away because of terrible gun violence.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the victims are being honored with flowers but their deaths could have been avoided'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'anger'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'losing the a loved one due to gun violence will absolutely shatter my world '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'this memorial is a representation of the careless loss of life.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""I don't feel that it is fair for a family to have to cope with and grieve the loss of a loved one, because one other person felt that using a gun was okay.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'people deprived of their lives from gun incidents are undeserved to die.'}]"
18,Texas school district accepts gun donations 2 months after deadly school shooting,anonymous-source/all_shooting_images_newest/463.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'It makes me feel the aftermath of gun violence.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""looks like a school case of violence and that's very scary for me""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""something traumatic clearly happened to the girl and it makes me scared to think it's possibly a shooting at this school""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'someone is crying. I think her family members or friends were hurt by gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'children should not be faced with this crime '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'awe'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'nobody should ever feel like they are about to lose their life in the middle of a class session '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'of the trauma that all these victims have to endure afterwards.'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'School is supposed to be a safe space for students, and parents should feel like they are sending their children to a safe place, not a death trap. To see a student going through something traumatic in a place that is supposed to be a welcoming environment, is really sad. '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'students are just children and they should be well protected.'}]"
27,"Chicago police chief calls 58 shootings in 3 days 'tragic, senseless and cowardly'",anonymous-source/all_shooting_images_newest/259.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Fear'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I hope that everyone at that subway was safe and I am scared that there was a shooting there.'}, {'emotion': 'Anger', 'intensity': '2', 'reason': ""While I don't fully know the context of the picture, I imagine the police officer is acting inappropriately at the scene of a crime""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel sad because I remember people that use guns to hurt people'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'Crime scene imagery always carries a sense of off-putting edge and nervousness for me. However, nothing about this particular image generates strong emotions.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'its scary to think one can be going about their daily lives and can easily get shot at any time'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Subway is a familiar place.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'crimes happening in these common places are hard to guard against'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it looks like a tragedy has occurred.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'sad'}]"
