,Headline,url,text_responses
1,Emma Gonzalez Brought to Tears Honoring Victims of Gun Violence,anonymous-source/all_shooting_images_newest/100502.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'gun violence is such a serious issue '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it is sad to know the lost of someone'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'sad story '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""the trauma that victims' families have to undergo is unimaginable. ""}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'she is compassionate'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'More death in the world '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I can feel the same emotion as Emma Gonzalez'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I have never been through situation like her but I can imagine how sad it feels'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'This is an avoidable tragedy, but lax gun control has caused this tragedy.'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'There are alot of kids that have died and it is emotional to honor them, I have cried while doing that too'}]"
6,Teenagers will lead the charge and demand change at anti-gun violence March for Our Lives,anonymous-source/all_shooting_images_newest/10466.jpg,"[{'emotion': 'Excitement', 'intensity': '4', 'reason': 'it talks of change '}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'Glad to see how teenagers speak up regarding anti-gun violence. The power of teenagers should not be neglected.'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'not really feeling anything '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'teenagers are not supposed to be ones pushing anti-gun-violence, but they are now because the issues are threatening their safety.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'younger generation aware of the dangers of gun violence'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""Someone is doing something, but I wish it didn't have to be children ""}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'Something will change in the future. '}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'I am proud of younger generation for having the courage to stand up for this issue.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'It is important to oppose gun violence and support the legitimate use of guns.'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'it shouldnt be the students fighting for their safety, it should be their government, parents and schools'}]"
10,Family that took in Florida shooting suspect call him a 'monster' and say they had no clue what he was planning,anonymous-source/all_shooting_images_newest/10551.jpg,"[{'emotion': 'Sadness', 'intensity': '4', 'reason': 'they probably feel some responsibility '}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""It seems like they are trying to get rid of the relationship with the shooting suspect, though I might be wrong because I don't know the full story.""}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'understand why the family say this '}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'the failure to raise a sociopath is largely due to the failure of family ethical education and social responsibility. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'his family did not want to find out why he committed the crime, they just wanted to absolve themselves of responsibility.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I am from florida, and often travel and stay in 'sketchy' areas. Hard to know who to trust ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I am afraid of those people in the society. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel bad for the family that they have to accept the fact that they raised a monster'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'Gun control can prevent these tragedies.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'while i understand that sentiment, as his family you are his safety space for unconditional love and yes that is disgusting but they probably had a hand in why he did it '}]"
14,The shooting at a Madden video game tournament in Florida has shaken esports gamers and leagues in the fast-growing industry,anonymous-source/all_shooting_images_newest/12.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'this was a shooting in an event with innocence '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'it is sorry to see the industry is influenced by these negative stories'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'feel bad about this people in the tournament '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the shooting in real-life is falsely connected to the effects of gaming industry on young people.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""it's a tragedy.""}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""There's nowhere safe""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I think gun violence shouldn't be in the video games.""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Another shooting happened, more innocent people died'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Gun control can prevent so many tragedies.'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'this person was a threat to others lives and why?'}]"
15,Doctors Need to Talk to Families About Guns and Dementia,anonymous-source/all_shooting_images_newest/100427.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'this is an obvious thing '}, {'emotion': 'Excitement', 'intensity': '5', 'reason': ' I really want to see if this will impact gun violence in the future'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': ""sounds good but don't know why it is doctors to do so ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'violence and mental illness are tortuous.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'some people (e.g. the author and doctors) take the gun issue seriously'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I agree with this headline and would likely read on to learn (hopefully) on how I could help or a solution that could improve the issue'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I think these kinds of information should be promoted. '}, {'emotion': 'Amusement', 'intensity': '3', 'reason': ' I would like to know how this will work out'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Gun control can prevent many tragedies.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'it makes sense that they should talk about it '}]"
16,"Hundreds of Malibu students and their families march against gun violence, call for stricter gun control laws",anonymous-source/all_shooting_images_newest/10475.jpg,"[{'emotion': 'Awe', 'intensity': '4', 'reason': 'it is empowering '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'They are full of courage to call for an action'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'support them to do so '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'students and their families are the people who are impacted by the gun violence at schools the most.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'some people take the gun issue seriously and take concrete action'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'Someone is doing something, but nothing ever feels like enough '}, {'emotion': 'Excitement', 'intensity': '5', 'reason': 'I agree with the statement !'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I hope more people will stand up like them'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Gun control can prevent many tragedies.'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'Good on them '}]"
17,"Pittsburgh shooting: US Muslim groups raise more than $110,000 for synagogue attack victims",anonymous-source/all_shooting_images_newest/100398.jpg,"[{'emotion': 'Awe', 'intensity': '4', 'reason': 'it restores faith in humanity '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'the willingness to help others worths respect'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'sounds good and the victim deserve help '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'religious hostility causes unnecessary violence and death.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'US Muslim groups are very kind'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'People can be good, but why can they only be good in the wake of darkness? '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I can feel Muslim groups care about the victims.'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'It is great to see people from different backgrounds are helping and standing with each other'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'People should have sympathy for the victims.'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'this is the defintion of love and taking care of each other'}]"
21,"Doctors pay tribute to Chicago shooting victim Tamara O'Neal, MD:'We are so sorry we couldn't protect you'",anonymous-source/all_shooting_images_newest/110264.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sad for victims.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'failure to protect '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'This is so sad'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'He said we could not protect you'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Doctors do as much as they can to save lives and it is not their fault that they lost this victim. more gun laws need to be put in place to save these lives'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I feel that this doctor is caring about all patients and full with compassion and dedication'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""it's not their fault and they have no reason to apologize""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""Doctors give their lives to save people, but O'Neal lost her life due to a senseless shooting""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'that is so sad '}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""Tamara's death and that the doctors could save her life""}]"
28,Bank of America to stop lending to military-style weapons makers,anonymous-source/all_shooting_images_newest/10391.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'Weapons makers are dangerous.'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'they did the right thing '}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'Why is BOA giving guns?'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I like it '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""if they sell them on the street, then I support the bank. If it's career rise for the military, I could argue against this""}, {'emotion': 'Excitement', 'intensity': '2', 'reason': 'It would increase my impression of Band of America positively. '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'as they should'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'moving in the right direction!'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'that is a positive step forward '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""Bank of America is helping reduce the amount of guns that people can have and people don't need to have military style guns.""}]"
30,The Kentucky Supermarket Shooting That Left Two Black People Dead Is Being Investigated As A Hate Crime,anonymous-source/all_shooting_images_newest/100493.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sad for the victims.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'hate crime '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'As it should a hate crime. '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'more laws should be in place to avoid hate crimes '}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'This is not just a hate crime'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""it's disgusting how people can be so hateful and twisted and set in their own ways that they think it's okay to kill people in the first place let alone target people for their race""}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'it is maddening how often hate crimes happen in this country'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'it feels so targeted and hateful no amount of justice can bring those two people back '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'people were killed because of their race'}]"
