,Headline,url,textimage_responses
1,Emma Gonzalez Brought to Tears Honoring Victims of Gun Violence,anonymous-source/all_shooting_images_newest/100502.jpg,"[{'emotion': 'Awe', 'intensity': '1', 'reason': ""I don't care"", 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'I like seeing happy facial expressions', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'victims should be remembered', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'This is an issue that is still happening, and would also make me sad especially if I were on stage speaking about it. ', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'because the young women in the picture must have spoken about people who were killed by guns in a way that moved the audience deeply, according to the headline', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'I respect what Emma Gonzalez did and admire her courage to speak for Victims of Gun Violence.', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'This girl looks so young and honoring victims of gun violence is sad', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'gnsdfahg', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'I think it is important for a public figure like her to speak up about an important issue such as gun violence, it takes a lot of courage for her to do so.', 'url': 'anonymous-source/all_shooting_images_newest/100502.jpg'}]"
4,No safe haven as shootings rock US schools,anonymous-source/all_shooting_images_newest/10827.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'students are innocent', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I don't like the idea that something bad is happening at school"", 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'this shooting phenomenon is rampant', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'This shooting made me sad because it received little national coverage. ', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'schools are not safe for children in the US.  The people in the image look clueless. ', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'In my personal impression, the school should be a safe place to let people learn knowledge, but more and more shooting incidents happening in school really make me feel scared, especially at University.', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'The idea that things will never get better is very sad', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'bteqrgt4', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'this makes me think that most of the time, school shootings are very hard to avoid. It could happen at any given point and is very random.', 'url': 'anonymous-source/all_shooting_images_newest/10827.jpg'}]"
7,Pittsburgh synagogue shooting: Portraits of the 11 victims,anonymous-source/all_shooting_images_newest/100385.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'people died because of hate crimes', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I get sad seeing other people struggling or upset', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'this tragedy is sad', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Because seeing the portraits of victims evokes sadness. ', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I empathize with the woman and man in the picture who are mourning victims of a shooting at a synagogue.', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""That's an unfortunate loss for people who live in Pittsburgh. I can't imagine how sad of victims' family."", 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'The fact that 11 people were killed is very sad', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'trwherqyt4wsgnfhrq', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'it is sad to think about the victims of shootings and to see the story behind them. Each victim has a family and close people around them, so it is very sad to think about how the shooting affects not only the victims but also destroy the family and friends.', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}]"
20,"North Carolina high school shooting stemmed from bullying that  escalated out of control,  officials say",anonymous-source/all_shooting_images_newest/100479.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Pictures are creepy and would be terrified of this happening to me.', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Teenagers who illegally use guns should be severely punished.', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is sad that people can be bullied to a point where they do something like this', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Schools should have more regulations to prevent bully in the first place. ', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'it is terrifying that daily life can bring such violence ', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'People let his anger and pain go to such an extreme extent', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'such a horrible news why are we still selling guns', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'People died in the incident and the perpetrator only engaged in the shooting because he was bullied, so he was driven to do something he otherwise would not have done. ', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is sad to see bullying at school', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'mental health and reducing moral hazard among school staff so they give more shits about their students.', 'url': 'anonymous-source/all_shooting_images_newest/100479.jpg'}]"
23,Bloomberg criticizes Trump after Pittsburgh shooting,anonymous-source/all_shooting_images_newest/100079.jpg,"[{'emotion': 'Amusement', 'intensity': '3', 'reason': 'The headlines look like normal real-time commentary news, but the pictures look funny.', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""it's the president's responsibility to think for the country's peace, but the numerous shooting cases show that people do not feel peace and security."", 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This picture does not invoke any strong emotions from me', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'The media needs to gave pressure to enforce some regulations. ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'excited to see that someone is supporting my opinion ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'should he have been more proactive ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'he is the president he should be doing something', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'There is someone speaking out on the policy of Donald Trump and his general friendliness towards the NRA/gun owners. ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This headline and picture are really neutral. ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'Cool Mike.  Thanks for your opinion.', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}]"
27,"Chicago police chief calls 58 shootings in 3 days 'tragic, senseless and cowardly'",anonymous-source/all_shooting_images_newest/259.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'The picture shows what happened, the real situation is sad and scary.', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I think it is irresponsible to judge the bad results after it happened.', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'It angers me that so many innocent people are losing their lives', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""it's also the police's responsibility to make the community safe. "", 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'if police officers know and can not do anything, then whom should do?', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""It's becoming so common and often"", 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'if we stop giving people guns then it should all be fine', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': '58 shootings is a lot for a month, let alone just three days alone. This angers me greatly as it shows how gun violence is a big and everyday problem. ', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it is sad to see so many people are dead.', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Disgust', 'intensity': '1', 'reason': '58!?!?!?!?!?!?', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}]"
28,Bank of America to stop lending to military-style weapons makers,anonymous-source/all_shooting_images_newest/10391.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'It is joyful and hopeful to see these positive actions.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think it is a good trend.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""I don't think bank of america should discriminate just because they make guns"", 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I think they did the right thing because there's huge risks in lending money to military-style weapon maker.  "", 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'we have banks to help people build home and grow food not making killing easier', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'its a really good decision ', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'such a good news. this reduces guns.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'something tangible is being done to reduce the power of gun manufacturers. ', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'military-style weapons seems scary and it is good see BofA are not lending the money.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'All organizations should stop supporting gun industry.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}]"
34,"Gun-related homicides, suicides kill more people than war, study says",anonymous-source/all_shooting_images_newest/126.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Terrified of this fact and terrified of the gun in the picture.', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is sad to realize the bad, huge impact of guns on guns owners.', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'As a member of the military, this is the sad truth', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'so many innocent people were killed ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'the statistic is very sad and the weapons in the picture are never reasonable ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'i feel upset knowing the fact and disappointed ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'so many shootings are happening ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'A lot of people die in war, so for homicides/suicides to kill even more people is extremely sad. ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'The picture is scary and wording is scary', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'OK.  we need to subsidize healthcare.', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}]"
35,"Spokane, Wash. ends gun sales by police after probe",anonymous-source/all_shooting_images_newest/110042.jpg,"[{'emotion': 'Excitement', 'intensity': '3', 'reason': 'These guns look scary, but the title reassures me.', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""it's a good trend."", 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This picture does not invoke any strong emotions from me', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think they did it right, guns need tighter control ', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'i do not like seeing guns', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I don't know about this"", 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'so many shootings are happening ', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'It is something tangible that might actually reduce the number of guns in the area. ', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'The headline is good', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'good measure.', 'url': 'anonymous-source/all_shooting_images_newest/110042.jpg'}]"
36,Gun Control Groups Eclipse N.R.A. in Election Spending,anonymous-source/all_shooting_images_newest/110462.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': ""The people in the pictures seem to have so many different emotions that I can't get to the point."", 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'this is a good trend.', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This picture does not invoke any strong emotions from me', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'people gather together to strive for change ', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'seeing that people are disagreeing with the right thing is sad', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Thats good', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'we stand together on gun controls', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'Even if gun control groups spent more money, it is evident they are still less influential than the NRA. ', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'picture of people gathering with smile is good.', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'Fuck yeah.  Societal sentiments are finally being funded.', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}]"
