,Headline,url,image_responses
4,No safe haven as shootings rock US schools,anonymous-source/all_shooting_images_newest/10827.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'Shooting probably already happened, policeman are coming to clear the mess.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'knowing there are school shootings that happen frequently, seeing something like this would definitely make me sad'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'This reminds me of the Rancho Tehama school shooting '}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'Some people in FBI clothes gathered together, it looks like something terrible has happened.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it pains me to see that gun violence has possibly taken place at the high school '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'contentment'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""the people running this country don't take anything worthy seriously. guns are made to kill. this picture shouldn't even exist ""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""the FBI shouldn't need to investigate issues at elementary schools.""}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""Another school seems to be a victim, it's unfortunate that children have to suffer these traumatic events because someone was able to get their hands on a gun  ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'school shooting incident is sad in any way.'}]"
7,Pittsburgh synagogue shooting: Portraits of the 11 victims,anonymous-source/all_shooting_images_newest/100385.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Innocent people have been murdered by gun violence.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'looks like these people went through a terrible loss of someone close because of gun violence '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'this makes me think of the victims of gun violence'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'it seems there is something horrible happened on these people.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'families have to through so much grief due to lack of laws against gun violence'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'anger'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'i would feel so sad, depressed, hopeless, etc if I lost a loved one to gun violence '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'it is hard to see people in pain.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""People shouldn't have to grieve if it could have been prevented. ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'families are devastated because of gun violence.'}]"
8,"Adult, juvenile charged in BB gun incident that prompted Elgin school to go into 'secure' mode",anonymous-source/all_shooting_images_newest/413.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'What if innocent children have been related to the gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""schools being a common target of gun violence is one of the most saddening truths of today's era ""}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""I don't know that happened at this school but I fear that it is another school shooting that I don't know about""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'The school looks very quiet and nobody stays here now. Maybe something horrible happened in this school.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'gun violence can take place here'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'fear'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'any regularschool campus can be a victim of gun violence.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'this school seems calm until havoc will arrive.'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""again, young children are in danger. it isn't fair, and it isn't up to anybody else to dictate whether or not somebody else's family member gets to live or not""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'only an image of an empty school, it seems all students are gone.'}]"
11,"U.S. Needs Tougher Gun Laws to Stop Dementia Patients Killing Themselves and Others, Scientists Warn",anonymous-source/all_shooting_images_newest/110045.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Fear that what of the gun is pointing at me.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'dont know the context of this picture'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I'm anxious because it's a white guy holding a gun. almost all mass shootings are involved with a white guy killing people. ""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I almost never saw a gun when I was growing up, so the appearance of a gun would make me scared.'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'because guns are powerful weapons. it can protect you from harm but it could also be used to cause harm to innocent people.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'fear'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'the lack of common sense in American laws frustrate me. its simple, the less guns we have/the harder it is to obtain one, the less mass shootings will occur '}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""I don't believe guns are necessary in day-to-day life""}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'again, the concept of having a gun will never make sense to me. It threatens the lives of so many people.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'old people even have the needs to protect themselves. they could be just at home and spend the rest of their life without fear of shooting.'}]"
12,Trump urges lawmakers to buck NRA every once in a while,anonymous-source/all_shooting_images_newest/10336.jpg,"[{'emotion': 'Anger', 'intensity': '4', 'reason': 'Politicians do not care about the gun control.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""Donald Trump shouldn't be allowed to speak to public and it's disgusting to see him have an opinion on gun control""}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'looking at donald trump always reminds me of how he framed the covid and chinese people during the pandemic'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'I think these politicians need to complicate this situation that gun violence cannot be effectively controlled.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'Trump administration has failed the people'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'amusement'}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'there are people in the word who support racism, discrimination, oppression, anything that divides people apart. '}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""I don't like Trump""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': ""I don't agree with Trump's policies or views. ""}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'trump amuses people with his gesture and talking.'}]"
14,The shooting at a Madden video game tournament in Florida has shaken esports gamers and leagues in the fast-growing industry,anonymous-source/all_shooting_images_newest/12.jpg,"[{'emotion': 'Fear', 'intensity': '4', 'reason': 'Feeling uneasy about the gun violence.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I think i'll be fine in the presence of police officers being armed in public like this""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I feel sad when there's police being in an area where there's no one there, I can only assume that something bad happened""}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'I’m only a little scared because I think these police officers are on duty, not a terrorist incident.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'security is helpful during such events'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'excitement'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'i am on edge where ever i go because anything dangerous to me can happen at any moment. I am always on alert. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'a public place became a crime scene.'}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""I only feel slightly scared, after the events of 2020 regarding the police, I haven't really felt safe around any cops. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'an empty street with police usually indicated that there has been an incident, which is scary.'}]"
16,"Hundreds of Malibu students and their families march against gun violence, call for stricter gun control laws",anonymous-source/all_shooting_images_newest/10475.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'It makes me feel the aftermath of gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""no one shouldn't have to go through this kind of pain""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I'm sad because this is supposed to appear in places like government offices, instead of on the walls that no policymakers will see or do anything about it""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'don’t think children should be forced to face things like gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""it's sad to see a child in from of the posters""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'sadness'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'money can control people to do the unthinkable. money can bring out the greed in people '}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'I agree with the signs and the boy looking at them is trying to understand what has happened.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'Another picture of people having to express that guns ruin lives '}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""a child is the victim if NRA doesn't do what they promised.""}]"
17,"Pittsburgh shooting: US Muslim groups raise more than $110,000 for synagogue attack victims",anonymous-source/all_shooting_images_newest/100398.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'It makes me feel the aftermath of gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""This looks really awful and no one shouldn't have to go through this pain""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel sad when people die, but at the same time, how people care about and remember the passed makes me less sad'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""it's obvious somebody innocent passed away because of terrible gun violence.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the victims are being honored with flowers but their deaths could have been avoided'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'anger'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'losing the a loved one due to gun violence will absolutely shatter my world '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'this memorial is a representation of the careless loss of life.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""I don't feel that it is fair for a family to have to cope with and grieve the loss of a loved one, because one other person felt that using a gun was okay.""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'people deprived of their lives from gun incidents are undeserved to die.'}]"
20,"North Carolina high school shooting stemmed from bullying that  escalated out of control,  officials say",anonymous-source/all_shooting_images_newest/100479.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sadness'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is sad that young kids get their hands on guns.'}, {'emotion': 'Anger', 'intensity': '2', 'reason': ""While I don't know if this person's apparent arrest is lawful or not, I am still reminded of the treatment of Black people by the US police system and the association people tend to make with criminality and Black people.""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Because of I feel that I can be arrested as a Black man'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""I vaguely recognize the boy pictured, but not immediately. I am not sure the context exactly. But I know someone was hurt, and this young man was involved somehow. It's sad to see how many young lives are harmed by gun violence.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'i wonder what happened'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'It looks scary.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'He is the crimnial in a crime I think. A child using a gun and shooting at others makes me angry, or sad at the same time. He could have been educated like others'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'someone likely died of gun violence'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'sad'}]"
27,"Chicago police chief calls 58 shootings in 3 days 'tragic, senseless and cowardly'",anonymous-source/all_shooting_images_newest/259.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Fear'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I hope that everyone at that subway was safe and I am scared that there was a shooting there.'}, {'emotion': 'Anger', 'intensity': '2', 'reason': ""While I don't fully know the context of the picture, I imagine the police officer is acting inappropriately at the scene of a crime""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I feel sad because I remember people that use guns to hurt people'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'Crime scene imagery always carries a sense of off-putting edge and nervousness for me. However, nothing about this particular image generates strong emotions.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'its scary to think one can be going about their daily lives and can easily get shot at any time'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Subway is a familiar place.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'crimes happening in these common places are hard to guard against'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it looks like a tragedy has occurred.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'sad'}]"
