,Headline,url,text_responses
1,Emma Gonzalez Brought to Tears Honoring Victims of Gun Violence,anonymous-source/all_shooting_images_newest/100502.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'gun violence is such a serious issue '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it is sad to know the lost of someone'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'sad story '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""the trauma that victims' families have to undergo is unimaginable. ""}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'she is compassionate'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'More death in the world '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I can feel the same emotion as Emma Gonzalez'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I have never been through situation like her but I can imagine how sad it feels'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'This is an avoidable tragedy, but lax gun control has caused this tragedy.'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'There are alot of kids that have died and it is emotional to honor them, I have cried while doing that too'}]"
7,Pittsburgh synagogue shooting: Portraits of the 11 victims,anonymous-source/all_shooting_images_newest/100385.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': 'people were killed based on their religion '}, {'emotion': 'Awe', 'intensity': '5', 'reason': 'It is always good to remember these victims. Only by remembering them, we can feel the pain and call for changes.'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'no specific feeling'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the shooting is due to religious hatred.'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'it made me realize once again that the dead were originally living people'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""They weren't just a name anymore ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel bad about losing the victims.'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'It is horrifying I cant stand to see any violent imagines'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Gun control can prevent these tragedies.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'this has become normalized and I remember this, again the fix is simple'}]"
19,Sanders addresses Trump's wavering position on guns Video,anonymous-source/all_shooting_images_newest/10818.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'it needs to be addressed '}, {'emotion': 'Contentment', 'intensity': '2', 'reason': ""It's good to have a stable position""}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'good to see people showing attitude to things that matter'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'attitude of the leader of the country on gun control can easily affect the public opinions.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""it's better to be hesitant than to oppose a gun ban""}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'donald trump has never been consistent on anything, he just tells people over and over what they want to hear and incites the white community of America (which feels removed from gun violence to begin with). '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'Maybe someone starts to call for a change '}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I want to find out more about the video'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'The government must do something to control the proliferation of guns.'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'yea that fits his platform '}]"
21,"Doctors pay tribute to Chicago shooting victim Tamara O'Neal, MD:'We are so sorry we couldn't protect you'",anonymous-source/all_shooting_images_newest/110264.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sad for victims.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'failure to protect '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'This is so sad'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'He said we could not protect you'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Doctors do as much as they can to save lives and it is not their fault that they lost this victim. more gun laws need to be put in place to save these lives'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I feel that this doctor is caring about all patients and full with compassion and dedication'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""it's not their fault and they have no reason to apologize""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': ""Doctors give their lives to save people, but O'Neal lost her life due to a senseless shooting""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'that is so sad '}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""Tamara's death and that the doctors could save her life""}]"
23,Bloomberg criticizes Trump after Pittsburgh shooting,anonymous-source/all_shooting_images_newest/100079.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'People should pay more attention to the shooting.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'shooting '}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I think he is attacking the wrong person. Trump would freak out'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'I do not like trump'}, {'emotion': 'Contentment', 'intensity': '5', 'reason': 'Trump should be held accountable because he never spoke out against these issues when they arise and he never did anything about it '}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'I feel that this is none of my business, this is just the political competition between each party. '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'they should.'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'it is good Trump is being criticized'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'he should be criticized '}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""Trump didn't commit the shooting so why is he being criticized""}]"
34,"Gun-related homicides, suicides kill more people than war, study says",anonymous-source/all_shooting_images_newest/126.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Gun-related homicides, suicides kill more people than war. It is pathetic.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'deaths related to gun violence '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'That is a very shocking stat'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'people have too much freedom with buying weapons that it leads to more items to use to kill themselves if they get that low In life. a mentally unwell individual needs to not be able to make such a purchase'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Keep gun control is very important and it is a very big problem'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'that is an insane statistic like absolutely ridiculous and it could be changed so easily but no progress is being made towards that'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'the statistics are very alarming'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'that is a lot of people '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'of the large amount of people who commit suicide'}]"
35,"Spokane, Wash. ends gun sales by police after probe",anonymous-source/all_shooting_images_newest/110042.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': ""Ending gun sales may save somebody's life.""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'ends gun sales'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'What is a probe?'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I do not like it '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'good on Washington for knowing their limits with distributing weapons'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'It is correct to take action'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""they shouldn't have been selling them in the first place""}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'moving in the right direction'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'something is being done to curb gun sales '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'the less guns there are the less shooting there are'}]"
43,Trump Made False Claims About 9/11 to Justify Hosting a Rally After the Synagogue Shooting,anonymous-source/all_shooting_images_newest/100082.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': 'trump is a disgusting human to justify his actions'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'it is never okay to make false claims to serve your own agenda'}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'I think its funny that president of United States would do something like that'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'cause its wrong'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Until reading this article it would be unclear if the news is simply spinning this against Trump or whether he actually told a lie.'}, {'emotion': 'Disgust', 'intensity': '2', 'reason': ""Tired of Trump. The president showed no sympathy while hurt other's feelings. ""}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'Terribly rude and insensitive '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'I feel disgusted because Trump is an awful human being and he has no regard for the loss of human life unless it is white Christians.'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'our president was so inconsiderate and horrible that he lied to hold a rally '}, {'emotion': 'Disgust', 'intensity': '5', 'reason': 'i hate trump and thats just so disgusting of him'}]"
44,Judge blocks distribution of 3D-printed gun blueprints until case is resolved,anonymous-source/all_shooting_images_newest/128.jpg,"[{'emotion': 'Contentment', 'intensity': '2', 'reason': 'for now i am content but intriguied to see the next steps'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'the distribution of 3D-printed gun blueprints should not happen.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think the judge did a right thing'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'that is good of the judge'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Seems like a strange call, but not one that I have enough knowledge to properly have an opinion on'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': ""I'm a fan of strict gun control. ""}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'It seems like a fair solution for the time. '}, {'emotion': 'Awe', 'intensity': '5', 'reason': ""I can't believe that there is even a discussion about distributing blueprints to 3D-print guns. It is already far too easy to gain access to guns in this country.""}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'I am confused as to why this would happen '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'because why are there printed gun blue prints in the first place'}]"
48,Bank of America to Stop Financing Makers of Military-Style Guns,anonymous-source/all_shooting_images_newest/10755.jpg,"[{'emotion': 'Contentment', 'intensity': '2', 'reason': 'that is their decision to make'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'I support the defunding of Military-Style Guns'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I feel like they are doing the right thing'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'it confuses me when big corporations get political. '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'Seems like a strange move that would need to be examined to discover what they are trying to hide.'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Good job BoA!'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""If it's for a career where they help supply the military, then I disagree. But If it is to sell to gun stores and on the street, I support. ""}, {'emotion': 'Excitement', 'intensity': '5', 'reason': 'this is a big step in the right direction.'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'this makes me happy that a major corporation is standing there ground and making a statement '}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'because anyone standing up to gun makers makes me happy'}]"
