,Headline,url,textimage_responses
7,Pittsburgh synagogue shooting: Portraits of the 11 victims,anonymous-source/all_shooting_images_newest/100385.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'people died because of hate crimes', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I get sad seeing other people struggling or upset', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'this tragedy is sad', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Because seeing the portraits of victims evokes sadness. ', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I empathize with the woman and man in the picture who are mourning victims of a shooting at a synagogue.', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""That's an unfortunate loss for people who live in Pittsburgh. I can't imagine how sad of victims' family."", 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'The fact that 11 people were killed is very sad', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'trwherqyt4wsgnfhrq', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'it is sad to think about the victims of shootings and to see the story behind them. Each victim has a family and close people around them, so it is very sad to think about how the shooting affects not only the victims but also destroy the family and friends.', 'url': 'anonymous-source/all_shooting_images_newest/100385.jpg'}]"
14,The shooting at a Madden video game tournament in Florida has shaken esports gamers and leagues in the fast-growing industry,anonymous-source/all_shooting_images_newest/12.jpg,"[{'emotion': 'Sadness', 'intensity': '1', 'reason': ""I don't care"", 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Awe', 'intensity': '4', 'reason': 'the setting is pleasant so I feel relaxed ', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'some industries shall get involved', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'Becuase the topic of video games will add awareness to the topic of gun violence. ', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I am angry because there was another shooting according to the headline.  The picture does not make me feel safe, seeing the police men with their guns.', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'a', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Shooting incidents happened in public always make me feel heartbroken.', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'A shooting occurring at an event where people are trying to have fun is very sad ', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'gbergqtwwrtherqtwthwergqtw', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'it is scary to think about how gun violence can influence a whole industry and the people in it.', 'url': 'anonymous-source/all_shooting_images_newest/12.jpg'}]"
21,"Doctors pay tribute to Chicago shooting victim Tamara O'Neal, MD:'We are so sorry we couldn't protect you'",anonymous-source/all_shooting_images_newest/110264.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'Saddened by the helplessness of this situation, while sympathizing with the person in the picture.', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'This sense of apology and guilt makes me feel sad and helpless.', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'I am confused why the lady is smiling ', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""It's not the doctor's fault and he felt guilty about it."", 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'the picture does not show something going with the sad type of the headline', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think its so nice and sweet', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'yes you can never protect someone 100%', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Amusement', 'intensity': '2', 'reason': 'Somebody died in this incident. The fact that the doctors apologized for the incident made me lament the death even further. ', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'The picture is great. Seeing a person smiling like this is great.', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Doctors are not responsible for protecting.  Politicians and the police are and they have failed.', 'url': 'anonymous-source/all_shooting_images_newest/110264.jpg'}]"
23,Bloomberg criticizes Trump after Pittsburgh shooting,anonymous-source/all_shooting_images_newest/100079.jpg,"[{'emotion': 'Amusement', 'intensity': '3', 'reason': 'The headlines look like normal real-time commentary news, but the pictures look funny.', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""it's the president's responsibility to think for the country's peace, but the numerous shooting cases show that people do not feel peace and security."", 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This picture does not invoke any strong emotions from me', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'The media needs to gave pressure to enforce some regulations. ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Excitement', 'intensity': '4', 'reason': 'excited to see that someone is supporting my opinion ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'should he have been more proactive ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'he is the president he should be doing something', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'There is someone speaking out on the policy of Donald Trump and his general friendliness towards the NRA/gun owners. ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This headline and picture are really neutral. ', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'Cool Mike.  Thanks for your opinion.', 'url': 'anonymous-source/all_shooting_images_newest/100079.jpg'}]"
26,November 5 10:15 PM Rally brings together thousands in wake of deadly synagogue shooting,anonymous-source/all_shooting_images_newest/110416.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Sympathy for the victims and hope these things never happen again.', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is sad to realize the impact of guns on people of different races.', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'It is amazing how people come together after tragedy', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the thousands of people that attended gathered together not because of holidays but gun shootings. ', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'knowing about shooting is terrifying ', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'something like this happened', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'human should never have to go through this', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'There is some action being done to try to stop gun violence in the future, even if the efforts are minimal and will bring about little change. ', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'it is good to see people gathering for loss.', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'Sucks bruh.', 'url': 'anonymous-source/all_shooting_images_newest/110416.jpg'}]"
27,"Chicago police chief calls 58 shootings in 3 days 'tragic, senseless and cowardly'",anonymous-source/all_shooting_images_newest/259.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'The picture shows what happened, the real situation is sad and scary.', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'I think it is irresponsible to judge the bad results after it happened.', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'It angers me that so many innocent people are losing their lives', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""it's also the police's responsibility to make the community safe. "", 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'if police officers know and can not do anything, then whom should do?', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': ""It's becoming so common and often"", 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'if we stop giving people guns then it should all be fine', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Anger', 'intensity': '4', 'reason': '58 shootings is a lot for a month, let alone just three days alone. This angers me greatly as it shows how gun violence is a big and everyday problem. ', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it is sad to see so many people are dead.', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}, {'emotion': 'Disgust', 'intensity': '1', 'reason': '58!?!?!?!?!?!?', 'url': 'anonymous-source/all_shooting_images_newest/259.jpg'}]"
28,Bank of America to stop lending to military-style weapons makers,anonymous-source/all_shooting_images_newest/10391.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': 'It is joyful and hopeful to see these positive actions.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'I think it is a good trend.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Anger', 'intensity': '3', 'reason': ""I don't think bank of america should discriminate just because they make guns"", 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I think they did the right thing because there's huge risks in lending money to military-style weapon maker.  "", 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Amusement', 'intensity': '5', 'reason': 'we have banks to help people build home and grow food not making killing easier', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'its a really good decision ', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'such a good news. this reduces guns.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'something tangible is being done to reduce the power of gun manufacturers. ', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'military-style weapons seems scary and it is good see BofA are not lending the money.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'All organizations should stop supporting gun industry.', 'url': 'anonymous-source/all_shooting_images_newest/10391.jpg'}]"
34,"Gun-related homicides, suicides kill more people than war, study says",anonymous-source/all_shooting_images_newest/126.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'Terrified of this fact and terrified of the gun in the picture.', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'It is sad to realize the bad, huge impact of guns on guns owners.', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'As a member of the military, this is the sad truth', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'so many innocent people were killed ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'the statistic is very sad and the weapons in the picture are never reasonable ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'i feel upset knowing the fact and disappointed ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'so many shootings are happening ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'A lot of people die in war, so for homicides/suicides to kill even more people is extremely sad. ', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'The picture is scary and wording is scary', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'OK.  we need to subsidize healthcare.', 'url': 'anonymous-source/all_shooting_images_newest/126.jpg'}]"
36,Gun Control Groups Eclipse N.R.A. in Election Spending,anonymous-source/all_shooting_images_newest/110462.jpg,"[{'emotion': 'Contentment', 'intensity': '3', 'reason': ""The people in the pictures seem to have so many different emotions that I can't get to the point."", 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'this is a good trend.', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This picture does not invoke any strong emotions from me', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'people gather together to strive for change ', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'seeing that people are disagreeing with the right thing is sad', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'Thats good', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Excitement', 'intensity': '3', 'reason': 'we stand together on gun controls', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'Even if gun control groups spent more money, it is evident they are still less influential than the NRA. ', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'picture of people gathering with smile is good.', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'Fuck yeah.  Societal sentiments are finally being funded.', 'url': 'anonymous-source/all_shooting_images_newest/110462.jpg'}]"
40,Who is Robert Bowers? Accused Pittsburgh synagogue shooter left anti-semitic trail,anonymous-source/all_shooting_images_newest/100500.jpg,"[{'emotion': 'Disgust', 'intensity': '4', 'reason': ""Not sure if they meant trial, but if so it's another white man who got away with murder and was not held accountable."", 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Amusement', 'intensity': '2', 'reason': ""His face just sticks out to me and the ways his eyes just stare into my soul makes me feel really self conscious of myself. Also the smirk is really prominent and there's something sinister about it."", 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'violent people with guns are targeting specific ethnic groups', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Amusement', 'intensity': '1', 'reason': 'Looks like the headline makes the serious news a little bit humorous, which is inappropriats', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'violent people with guns are targeting specific ethnic groups', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I am scared of getting shot and dying ', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'this is still a major problem in our country. ', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""the picture makes me feel scary, maybe because of it's like a criminal picture"", 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'Because his is a murder that kill lots of Jews. Lots of innocent life dead just because of him.', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'the title and picture both sound/look terrifying and dangerous', 'url': 'anonymous-source/all_shooting_images_newest/100500.jpg'}]"
